Id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
MX000017004201001TMAX-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,278,,
MX000017004201001TMIN-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,145,,
MX000017004201001PRCP-9999,-9999,-9999,-9999,0,0,-9999,-9999,-9999,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MX000017004201002TMAX-9999,273,241,-9999,-9999,-9999,-9999,-9999,-9999,297,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,299,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,
MX000017004201002TMIN-9999,144,144,-9999,-9999,-9999,-9999,-9999,-9999,134,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,
MX000017004201002PRCP-9999,0,0,-9999,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,,,,,,,,,
MX000017004201003TMAX-9999,-9999,-9999,-9999,321,-9999,-9999,-9999,345,-9999,-9999,-9999,-9999,311,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,
MX000017004201003TMIN-9999,-9999,-9999,-9999,142,-9999,-9999,-9999,168,-9999,-9999,-9999,-9999,176,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,
MX000017004201003PRCP-9999,0,0,0,0,-9999,0,0,0,0,0,-9999,0,0,0,0,-9999,0,-9999,0,0,-9999,0,,,,,,,,,
MX000017004201004TMAX-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,363,-9999,-9999,-9999,,
MX000017004201004TMIN-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,167,-9999,-9999,-9999,,
MX000017004201004PRCP,0,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0,,,,,
MX000017004201005TMAX-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,332,-9999,-9999,-9999,,
MX000017004201005TMIN-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,182,-9999,-9999,-9999,,
MX000017004201005PRCP-9999,-9999,-9999,0,0,0,-9999,0,0,-9999,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,0,25,0,,,,,,,,,,
MX000017004201006TMAX-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,280,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,301,-9999,,,
MX000017004201006TMIN-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,175,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,180,-9999,,,
MX000017004201006PRCP,0,0,0,0,0,-9999,13,203,0,0,0,-9999,0,0,0,0,0,145,0,234,0,13,18,0,0,0,0,,,,
MX000017004201007TMAX-9999,-9999,286,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,299,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,
MX000017004201007TMIN-9999,-9999,175,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,165,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,
MX000017004201007PRCP-9999,-9999,307,0,76,0,-9999,-9999,-9999,-9999,0,0,0,0,147,0,5,0,58,0,-9999,-9999,0,43,0,112,0,,,,,
MX000017004201008TMAX-9999,-9999,-9999,-9999,296,-9999,290,-9999,-9999,-9999,298,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,264,297,-9999,-9999,280,254,,,,,,,
MX000017004201008TMIN-9999,-9999,-9999,-9999,158,-9999,173,-9999,-9999,-9999,165,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,150,156,-9999,-9999,153,154,,,,,,,
MX000017004201008PRCP-9999,-9999,-9999,-9999,38,5,239,0,180,168,168,185,0,132,193,117,51,145,0,0,0,432,64,188,0,0,,,,,,
MX000017004201009PRCP,185,56,13,175,0,277,0,345,391,353,23,0,119,0,48,10,0,361,0,0,15,147,18,0,0,0,0,0,,,
MX000017004201010TMAX-9999,-9999,-9999,-9999,270,281,-9999,-9999,-9999,-9999,-9999,295,287,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,312,-9999,-9999,,,,,
MX000017004201010TMIN-9999,-9999,-9999,-9999,140,129,-9999,-9999,-9999,-9999,-9999,130,105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,150,-9999,-9999,,,,,
MX000017004201010PRCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,,
MX000017004201011TMAX-9999,313,272,263,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,281,277,-9999,-9999,-9999,,,,
MX000017004201011TMIN-9999,163,120,79,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,121,142,-9999,-9999,-9999,,,,
MX000017004201011PRCP,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,0,0,-9999,0,,,,,,
MX000017004201012TMAX,299,-9999,-9999,-9999,278,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
MX000017004201012TMIN,138,-9999,-9999,-9999,105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
MX000017004201012PRCP,0,0,0,-9999,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,-9999,-9999,0,0,0,0,,,,,,
